@relation test
@attribute attribute1 numeric
@attribute attribute2 numeric
@attribute attribute3 numeric
@attribute attribute4 numeric
@attribute attribute5 numeric
@attribute attribute6 numeric
@attribute attribute7 numeric
@attribute attribute8 numeric
@attribute attribute9 numeric
@attribute attribute10 numeric
@attribute attribute11 numeric
@attribute attribute12 numeric
@attribute attribute13 numeric
@attribute attribute14 numeric
@attribute attribute15 numeric
@attribute attribute16 numeric
@attribute attribute17 numeric
@attribute attribute18 numeric
@attribute attribute19 numeric
@attribute attribute20 numeric
@attribute attribute21 numeric
@attribute attribute22 numeric
@attribute attribute23 numeric
@attribute attribute24 numeric
@attribute attribute25 numeric
@attribute attribute26 numeric
@attribute attribute27 numeric
@attribute attribute28 numeric
@attribute attribute29 numeric
@attribute attribute30 numeric
@attribute attribute31 numeric
@attribute attribute32 numeric
@attribute attribute33 numeric
@attribute attribute34 numeric
@attribute attribute35 numeric
@attribute attribute36 numeric
@attribute attribute37 numeric
@attribute attribute38 numeric
@attribute attribute39 numeric
@attribute attribute40 numeric
@attribute class {Jogging,Walking}
@data
"4.48","3.95","6.05","5.24","7.27","1.61","1.5","7.06","6.66","1.76","2.6","-0.89","-3.36","-3.36","0.93","2.3","6.44","10.99","5.33","-0.23","4.4","2.64","-0.34","2.96","13.29","9.53","2.91","8.08","7.82","6.32","15.79","9.11","-0.46","-2.26","-2.26","2.56","4.52","3.79","-0.91","-0.57","Jogging"
"0.57","4.4","6.28","7.67","5.9","9.81","12.57","-9.58","-2.68","-2.83","3.11","5.28","4.71","-6.32","-4.56","-0.53","0.89","7.06","10.34","5.75","4.4","9.92","-3.49","-4.1","-2.45","-0.08","8.2","-1.12","-1.33","-13.82","-3.57","-0.19","4.56","8.96","6.24","5.33","8.01","-2.68","-9.08","-3.83","Jogging"
"-0.57","7.12","2.15","-1.65","-18.96","-10.65","-0.19","2.34","9.58","5.71","3.83","-7.25","-15.43","-10.99","-4.29","3.91","9.89","3.17","-7.31","-18.54","-11.73","-2.91","-1.12","8.01","6.85","0.57","-16.74","-19.61","-9.04","-3.68","6.89","10.88","6.44","-15.55","-19.61","-14.48","-4.33","-3.3","5.71","10.38","Jogging"
"1.14","-18.05","-19.61","-8.47","-1.27","10.31","5.13","2.96","-19.61","-18.28","-7.01","-7.25","2.6","9.85","5.63","-12.91","-19.61","-14.86","-1.99","2.87","8.12","1.46","-11.8","-19.61","-14.98","-4.79","1.99","7.46","5.83","-0.61","-18.5","-18.62","-12.11","-2.72","10.65","2.37","-1.88","-16.74","-19.61","-17.24","Jogging"
"-8.43","-4.06","5.79","6.82","-1.14","-19.19","-19.61","-9.19","-0.19","11.37","0.23","-1.27","-15.75","-18.66","-18.43","-7.31","0.76","7.78","6.17","-5.56","-19.61","-17.67","-5.13","0.11","11.35","2.3","0.95","-17.62","-17.69","-13.48","-5.67","1.61","6.21","2.49","-16.04","-19.61","-10.88","-2.26","10.38","0.8","Jogging"
"-2.37","-16.78","-18.35","-19.61","-8.5","-0.61","4.25","5.18","-8.54","-19.61","-19.34","-7.31","0.0","0.0","12.91","1.12","-4.52","-19.61","-18.77","-10.46","-1.95","3.34","4.99","-2.87","-19.19","-18.96","-8.12","-0.61","12.45","-0.3","-4.67","-18.89","-17.62","-19.61","-9.11","1.12","3.76","4.18","-10.65","-19.61","Jogging"
"-15.09","-4.99","4.4","9.08","0.27","-14.79","-19.61","-19.38","-18.24","-3.17","0.19","4.48","0.19","-18.62","-19.61","-9.08","-0.3","13.63","-4.4","-1.76","-13.57","-19.19","-19.42","-11.3","-3.3","1.84","3.95","-2.37","-19.34","-19.3","-8.47","-1.04","13.87","-1.31","-0.76","-18.2","-18.28","-19.61","-12.07","-0.72","Jogging"
"3.68","3.34","-12.34","-19.61","-13.57","-3.68","4.48","8.92","1.18","-6.85","-19.61","-19.11","-17.5","-5.2","0.19","2.53","1.14","-18.07","-19.61","-10.46","-1.92","9.15","2.45","-1.14","-3.68","-19.61","-18.39","-12.98","-4.14","0.89","3.06","-0.89","-19.5","-18.12","-6.47","-1.12","14.21","-1.08","-1.92","-12.79","Jogging"
"-19.61","-18.77","-9.92","-0.38","2.64","3.3","-7.82","-19.61","-16.09","-4.59","0.61","13.25","-0.69","-4.44","-19.61","-18.12","-18.92","-7.5","-0.72","2.22","2.45","-14.94","-19.61","-11.11","-1.53","10.38","4.25","-1.95","-10.57","-17.39","-18.96","-17.69","-3.83","-1.73","2.34","-0.91","-19.23","-19.61","-6.66","2.83","Jogging"
"13.87","0.46","-7.65","-18.39","-13.06","-19.42","-12.79","-5.98","-1.84","2.07","-5.67","-19.61","-16.28","-3.79","2.45","14.82","0.23","-1.12","-18.24","-14.56","-19.53","-10.57","-1.57","0.5","2.22","-11.22","-19.61","-14.6","-1.8","5.24","12.41","-1.42","-6.17","-19.3","-15.55","-19.11","-10.57","-2.72","0.65","2.83","Jogging"
