@relation test
@attribute attribute1 numeric
@attribute attribute2 numeric
@attribute attribute3 numeric
@attribute attribute4 numeric
@attribute attribute5 numeric
@attribute attribute6 numeric
@attribute attribute7 numeric
@attribute attribute8 numeric
@attribute attribute9 numeric
@attribute attribute10 numeric
@attribute attribute11 numeric
@attribute attribute12 numeric
@attribute attribute13 numeric
@attribute attribute14 numeric
@attribute attribute15 numeric
@attribute attribute16 numeric
@attribute attribute17 numeric
@attribute attribute18 numeric
@attribute attribute19 numeric
@attribute attribute20 numeric
@attribute attribute21 numeric
@attribute attribute22 numeric
@attribute attribute23 numeric
@attribute attribute24 numeric
@attribute attribute25 numeric
@attribute attribute26 numeric
@attribute attribute27 numeric
@attribute attribute28 numeric
@attribute attribute29 numeric
@attribute attribute30 numeric
@attribute attribute31 numeric
@attribute attribute32 numeric
@attribute attribute33 numeric
@attribute attribute34 numeric
@attribute attribute35 numeric
@attribute attribute36 numeric
@attribute attribute37 numeric
@attribute attribute38 numeric
@attribute attribute39 numeric
@attribute attribute40 numeric
@attribute class {biking,downstairs,jogging,sitting,standing,upstairs,walking}
@data
"-0.28344","-0.74617","-0.7254","-0.36377","-0.006414100000000001","0.093157","-0.081245","0.054367","0.23518000000000006","0.42333","0.42028","0.5534399999999999","0.71349","0.92424","0.5140399999999999","0.38271","0.8265","1.1609","1.0959","0.94226","0.8509399999999999","1.022","0.66004","0.22419","0.32437","0.78985","0.8075600000000001","0.80207","0.5565","0.47861","0.63927","0.59773","0.58185","0.82558","0.8491","0.85582","0.6188100000000001","0.80237","0.65057","0.59956","biking"
"0.63225","0.11668","0.40714","0.34239","0.08827","0.087048","0.16249","0.11423","0.15058","-0.027184","-0.029932","-0.1014","0.037874","-0.4777","-0.44502","-0.5103800000000001","-0.75289","-0.63072","-0.6591199999999999","-0.48258","-0.53145","-0.73334","-0.7932100000000001","-0.59437","-0.6472100000000001","-0.94654","-1.0116","-0.95173","-0.77946","-0.70005","-1.0055","-0.6349899999999999","-0.51557","-0.22419","-0.64599","-0.36224","-0.11637","-0.70891","-0.87965","-0.43433","biking"
"-0.085216","-0.52382","-0.55161","-0.40348","-0.40042","-0.1182","-0.5949800000000001","-1.0901","-0.72113","-0.5757399999999999","-0.71532","-0.59559","-0.23182","-0.1124","-0.063225","0.027489","0.14905","0.45937","0.76969","0.76602","0.37721","0.32254","0.74739","1.0754","1.3201","0.86101","0.76389","1.0837","0.94012","0.28222","0.40195","0.96975","1.2113","0.77641","0.50885","0.74128","1.1301","0.75136","0.55161","0.64263","biking"
"0.85765","0.8503200000000001","0.8014600000000001","0.7419","0.5543600000000001","0.60659","0.43494","0.30482","0.24099","0.091324","0.028405","0.17685","0.16096","0.073304","-0.16188","-0.11545","-0.24007","-0.15852","-0.33872","-0.41142","-0.39584","-0.4477600000000001","-0.4477600000000001","-0.39401","-0.5616899999999999","-0.55772","-0.6090300000000001","-0.6572899999999999","-0.86926","-0.8643700000000001","-0.63927","-0.80298","-0.76786","-0.87995","-0.99235","-1.1344","-1.2309","-1.3103","-1.0293","-1.1958","biking"
"-0.6072","-0.36988","-0.5473399999999999","-0.8613200000000001","-0.45784","-0.7871","-0.92699","0.018631","-0.21258","-0.97341","-0.34147","-0.14415999999999998","-0.0042761000000000006","-0.489","-0.67928","-0.13806","-0.61942","-0.41539","0.037568","0.28466","0.48319","0.44838","0.27886","0.42089","0.59529","1.0437","1.3558","1.3216","1.1454","0.50855","0.3882","1.0131","1.8775","2.0159","1.255","-0.35094000000000003","-0.037874","1.3497","1.2969","0.33567","biking"
"0.64874","1.1026","0.67348","0.37843","0.051618","0.21289","0.57849","0.7501399999999999","0.73029","0.70402","0.71716","0.7205199999999999","0.8286399999999999","0.64202","0.06780599999999999","-0.022297","0.5678","0.1127","0.16921","0.6594300000000001","0.32467","0.5287","0.10965","-0.08827","-0.29932","-0.4328","-0.28588","-0.52473","-0.44593","-0.5507","-0.46578","-0.61239","-0.79077","-0.62583","-0.55803","-0.6349899999999999","-0.64385","-0.79535","-1.0351","-0.98044","biking"
"-0.78618","-0.50183","-0.71563","-0.80512","-0.26939","-0.65057","-0.26237","-0.20861","-0.075442","0.30329","-0.057727","-0.64232","-0.37171","0.25381","-0.93371","-1.0327","-0.18509","-0.50488","-0.098044","-0.40103","-0.6401899999999999","-0.31032","-0.17593","-0.23243000000000005","-0.3882","-0.28894000000000003","0.34453","0.4105","0.23366","0.25107","0.5632199999999999","1.0351","1.0644","0.56597","0.32834","0.47189","0.78282","1.4258","1.6283","0.93554","biking"
"0.011301","-0.7538100000000001","0.20006","1.4181","0.62766","0.11576","0.30024","0.72021","0.35949000000000003","0.7477","1.0724","0.89736","0.6530100000000001","0.5904","0.77183","1.1628","0.83719","0.65027","0.7360899999999999","0.41783","0.28283","0.15455","0.13347","0.20831","0.10751","0.026878","0.08491","-0.014661000000000004","0.085216","-0.19945","-0.10721","-0.34514","-0.37263","-0.55405","-0.67409","-0.52076","-0.90836","-0.56566","-0.77122","-0.69242","biking"
"-0.51557","-0.5959","-0.90164","-0.96395","-1.1472","-0.8390200000000001","-0.8280299999999999","-0.56261","-0.49297","-0.8601","-0.83139","-0.0024435","-0.49969","-0.45143","-0.93676","-0.77641","-0.14905","-0.27794","-1.1035","-0.8042","-0.49297","-0.33414","-0.45937","-0.91447","-0.7962600000000001","-0.58338","-0.68692","0.0085521","0.034819","-0.14752","0.12309","0.5824600000000001","0.6634","0.5384800000000001","0.20128","0.15363","0.57238","1.0928","1.0928","1.1417","biking"
"1.1417","0.35339","0.19242","0.5274800000000001","1.0418","1.0993","0.59651","0.39523","0.50732","0.27184","0.59437","0.7428100000000001","1.0644","0.97525","0.43799","0.65363","0.79962","0.81581","0.7663300000000001","0.6594300000000001","0.46792","0.061697","0.69119","0.2755","0.034819","0.30299","0.15944","0.032376","0.15302000000000002","0.051618","0.08094","-0.14203","-0.14478","-0.30146","-0.0033598","-0.36255","-0.44929","-0.47403","-0.39767","-0.36408","biking"
