acceleration_x,acceleration_y,acceleration_z,angularVelocity_x,angularVelocity_y,angularVelocity_z,altimeterRate,airpressure,heartRate,RRInterval,label,frequency,timestamp
0.34,-0.17,0.93,-4.39,-1.86,-3.45,0,998.69,68,0.78,5,50,2018-06-13 21:28:23:943
0.34,-0.17,0.93,-4.39,-1.86,-3.45,0,998.69,68,0.78,5,50,2018-06-13 21:28:23:943
0.34,-0.17,0.93,-4.39,-1.86,-3.45,0,998.69,68,0.78,5,50,2018-06-13 21:28:23:943
0.34,-0.17,0.93,-4.39,-1.86,-3.45,0,998.69,68,0.78,5,50,2018-06-13 21:28:23:943
0.34,-0.17,0.93,-4.39,-1.86,-3.45,0,998.69,68,0.78,5,50,2018-06-13 21:28:23:943
0.33,-0.19,0.92,-4.39,-1.86,-3.45,0,998.69,68,0.78,5,50,2018-06-13 21:28:23:943
0.33,-0.19,0.92,-3.17,-0.76,-3.54,0,998.69,68,0.78,5,50,2018-06-13 21:28:23:943
0.33,-0.19,0.92,-3.17,-0.76,-3.54,0,998.69,68,0.78,5,50,2018-06-13 21:28:23:943
0.33,-0.19,0.92,-3.17,-0.76,-3.54,0,998.69,68,0.78,5,50,2018-06-13 21:28:23:943
0.33,-0.19,0.92,-3.17,-0.76,-3.54,0,998.69,68,0.78,5,50,2018-06-13 21:28:23:943
0.33,-0.21,0.92,-3.17,-0.76,-3.54,0,998.69,68,0.78,5,50,2018-06-13 21:28:23:943
0.33,-0.21,0.92,-6.28,-1.16,-3.45,0,998.69,68,0.78,5,50,2018-06-13 21:28:23:943
0.33,-0.21,0.92,-6.28,-1.16,-3.45,0,998.69,68,0.78,5,50,2018-06-13 21:28:23:943
0.33,-0.21,0.92,-6.28,-1.16,-3.45,0,998.69,68,0.78,5,50,2018-06-13 21:28:23:943
0.33,-0.21,0.92,-6.28,-1.16,-3.45,0,998.69,68,0.78,5,50,2018-06-13 21:28:23:943
0.33,-0.21,0.92,-6.28,-1.16,-3.45,0,998.69,68,0.78,5,50,2018-06-13 21:28:23:943
0.33,-0.21,0.92,-6.28,-1.16,-3.45,0,998.69,68,0.78,5,50,2018-06-13 21:28:23:943
0.35,-0.22,0.91,-6.28,-1.16,-3.45,0,998.69,68,0.78,5,50,2018-06-13 21:28:23:943
